,artists_name,artists_id,track_name,track_id,popularity,album_name,id_album,album_type,release_date,duration
0,Måneskin,0lAWpj5szCSwM4rUMHYmrr,ZITTI E BUONI,1lWWoec2z1j88GRblI5anV,53,ZITTI E BUONI,3DBUrkaKptFY2JSKpfukiy,single,2021-03-03,192654
1,Go_A,4kvCU3MzggM2piZCqvxj0x,SHUM,7mEDVrAHDnQJStDo8jKJJm,0,SHUM,4AQOhI7QMKq9vmHuzduPRk,single,2021-03-10,172675
2,Barbara Pravi,3L4wiBOSDLkJ18OISXZDA8,Voilà,1uAOCTevGnyKIDbgZdOCnE,63,Voilà,7dg4laFCDLBu0Oi2uWyafE,single,2020-11-06,176815
3,Gjon's Tears,0RIwEP1SaALlxn9jOVqHfA,Tout l'univers,3MvY2XbGYFi6p2dgmdcOYG,0,Tout l'univers,1UnqlxXSM5dlxZi6vLIIEH,single,2021-03-10,183706
4,Daði Freyr,3Hb64DQZIhDCgyHKrzBXOL,10 Years,4O0LQKVT6hGmVGNwizmydg,0,10 Years,2Zegz0LaKZgwrLo5UbEa2x,single,2021-03-13,166000
5,Destiny,1D6ueetjwqW491iboMI3NT,Je me casse - Eurovision Official Entry,0NbGUXzlqYkSKlGiduwo84,13,Je me casse (Eurovision Official Entry),3wO7Ie9SrkbvCGQNOL7Nf5,single,2021-03-22,178500
6,THE ROOP,34G31kGbSQmemVlI0G784o,Discoteque,7dMOzsTZOUtOF7W5kLN0gf,40,Discoteque,1OfWh8e9R7tOmrX4pGlDBe,single,2021-01-21,180521
7,Manizha,1Y53ZUhXBydAzILo4Qa0s1,RUSSIAN WOMAN,6Dz383ZHSKzWh5ZTL7aRra,38,RUSSIAN WOMAN,6e5G83EOP9tEfklabpOhRp,single,2021-03-19,176877
8,Stefania,0HZUhj5PZHzHMWSI4s8rOQ,Last Dance,0x4GMUtMeZAbti9fhDQnhj,37,Last Dance,1yhcTmwOGKCenGQZ7Z7yCk,single,2021-03-12,180000
9,The Black Mamba,2huzXUiBGRUJ8iRFD4NHc7,Love Is On My Side,7fUlEgQytIcVr9tu20hv89,24,Festival da Canção 2021,4lEfH3TAz1wg64NfSALDim,compilation,2021-02-26,175960
10,Natalia Gordienko,2Q94VIGMp0vhZetkOae27U,Sugar,4ajjeZhSAVz2Zp9rf9OTIL,35,Sugar,3sRJWlMDplaZjzPzDhkNRA,single,2021-03-04,178500
11,Eden Alene,3E7T8t0FwjEVxg9jufWZQG,Set Me Free,76TRCnbYfo9GU5DPsZ1uI9,37,Set Me Free,08DdXBJAEq7TPj0EbkhJK5,single,2021-03-27,179439
12,Efendi,4oe1qp9xGSFxMYH4X9AXtl,Mata Hari,3wuvVwA5RaifHz1uqKac8P,44,Mata Hari,2qAJL1ffzMUKu3quKRoMwi,single,2021-03-15,160980
13,Senhit,0kgOnYSaZeTf3ZnErgwkGT,Adrenalina,5sckZhskSmeF8TFJ05oSCB,35,Adrenalina,7aEMUNrcbMQtaVsBvJUGlO,single,2021-03-12,179786
14,Montaigne,1ZcnsSFqWusWlRK01vKE6b,Technicolour,7ElfaDjFKXAlfscXU4rRXK,31,Technicolour,5qwCs423PAmcHn2k4dW3WL,single,2021-03-05,169273
15,Fyr Og Flamme,7EuzcvdfScUqksgKfyN7J0,Øve Os På Hinanden,5KLDajsSLvA5n2zTwKycvF,31,Øve Os På Hinanden,4TWKMqtrWaLhZEpUVVyfY2,single,2021-02-10,186750
16,TIX,6CawoDDP1IZUSGl4wSJGC9,Fallen Angel,1ISMa0THMDKFBq2UMfm02e,40,Fallen Angel,18j2dIcbSl9HbptIpg7Nh6,single,2021-02-20,173786
17,Tusse,1BwDWgdDJe3TJXLZkBkpsI,Voices,5zxZ7M4RgWZUHlMEwac8vt,44,Voices,55w4D3r62g4hmMVvpnVkSV,single,2021-02-27,184000
18,James Newman,4iaTgZRy5aVnImDyRJn61n,Embers,5Dmq7XPXXcATuJnSOj8UrT,0,Embers,1bqMVwx0B9ALlFQvDcFNLK,single,2021-03-11,175914
19,Elena Tsagrinou,4TgsxeFPNtkZ5lneq9AceU,El Diablo,4TAttqXwjj56xZQVKvlX0K,20,El Diablo,3lD9TdjZ9arObEt1wtETVK,single,2021-02-28,181546
20,Albina,7p1rrHdKESuF36QaqDSAtd,Tick-Tock,63Wv3KNxCfnuUIW988TyIl,32,Tick-Tock,4fdcWSScGNBkIP1wX2Ulu7,single,2021-02-13,180000
21,Lesley Roy,1hKEBSwDGhKmshGFWiWm7S,Maps,3OFGkaztvfjW0McKujTzdI,31,Maps,76eWcHISpK4WpItAajc84O,single,2021-02-26,172122
22,Roxen,6KCxe5mJlHDJlKEXbNFLsP,Amnesia,3JhdCHaJZWnvIqFRHhQfCs,33,Amnesia,5YK8V15nGoiK1QIxXfH0Yv,single,2021-03-04,174125
23,Eden Alene,3E7T8t0FwjEVxg9jufWZQG,Set Me Free,6l2tpPhcrqd9VQV8K1doxg,0,Set me Free,4IDOIkMWr6qCfMe0T1rGq5,single,2021-01-26,174142
24,Rafał Brzozowski,1ga5PpNASlqWvEPJZW3r7N,The Ride,3vTq9AmdeZt7QVslH68LK8,26,The Ride,2xqfHGYr838aYSXtVIhfVm,single,2021-03-15,180813
25,Samanta Tina,7pivhgzLZSku2ixQRxQ5BK,The Moon Is Rising - Original,2h9pSMHx48Q4SOWsvEiah5,26,The Moon Is Rising,7FHNsh3k6I1e2GDtJww2Rb,single,2021-03-12,180000
26,Benny Cristo,1pkRaEsDK0f573GZFTDW7O,Omaga,0AriSxYRoQelGrFEmS1BWm,25,Omaga,0EsOvDrMtev0634H8yNrO0,single,2021-02-17,179754
27,Uku Suviste,76FwN3u5L3LhNTqpF2gdh9,The lucky one,3InK5DUf12FyQVqgQ2sIfw,24,The lucky one,3tLYde9l0SvmZI1x5PXtjW,single,2020-12-07,182727
28,Hooverphonic,5EP020iZcwBqHRnJftibXX,The Wrong Place,3qebp3gdFteTRN69PZ9zHu,36,The Wrong Place,6Ojqu5ftg5rOgR7n3h6xEb,single,2021-03-04,176506
29,VICTORIA,21rgoGGMOSvl9RD6zeuOnq,growing up is getting old - Eurovision Version,6R6i1KOZjiPYLZ8dC0cUgd,27,growing up is getting old (Eurovision Version),5R6zdpQ4MYdVKnxpeR3YxJ,single,2021-03-19,188170
30,Vasil Garvanliev,0n0WJa2PTpZyrjXRcu4wxZ,Here I Stand,4yvRoOkKUZNLBRC1NUI4Za,15,Here I Stand,2PD6H60QwdMjPmNxw0fSY4,single,2021-03-12,180500
31,Vincent Bueno,5NPCfx9lZOTGTaYg6FSWV2,Amen,0J6WXcQ52yXn5tThiO1e1W,21,Amen,0iKS2gcD1gWRYXJa0MNH6M,single,2021-03-10,175555
32,Jeangu Macrooy,3t9HafA5eFHM992s4GZ0Gr,Birth Of A New Age,5GVMXVYBFyUeq1jz8IsGRq,27,Birth Of A New Age,5vfSBA3TW0hrD6bWsB5rqC,single,2021-03-04,173375
33,Blas Cantó,3IJtdFn9IKbFvNvZqOJA46,Voy a quedarme,1yCpJ5qmyM9UK7MXQCAyHh,30,Voy a quedarme,2SF3TInmIfWBmDcdXRdhKC,single,2021-02-10,182807
34,Tornike Kipiani,2olr4xM2nA4Sj2yhJnCoO6,You,3OUWYnsRv8pDmoCyEq2SFo,18,You,3nAV5jeLSHDaaDl6NToklw,single,2021-03-16,183640
35,Hurricane,1vhshb6p5AJSSgAj2LLnpA,Loco Loco,5x5JCCkJ0taXkqSdgPCRIt,0,Loco Loco,3tvfHvIvImIhShfgBsnLe0,single,2021-03-06,175375
36,Anxhela Peristeri,1hV3gbtU77osxNgFEuKq9h,Karma,2QIlIzboPx7XjFwncx00QB,0,Karma,2P0V8pahe52ai8kOawT2pV,single,2021-01-26,180000
37,Anxhela Peristeri,1hV3gbtU77osxNgFEuKq9h,Karma,7Ca1YA47yXQByUTX2jHMlN,0,Karma,3umGO07rqzo9zKwhuoeyAn,single,2021-03-09,179200
38,Jendrik,58E6TLHwF0cHdkrLd5iNRh,I Don't Feel Hate,2wmO5hhuw4Au0IwSUGLqLh,0,I Don't Feel Hate,7jLvNAEap7DWqC6W5GC6nH,single,2021-02-25,176996
39,Ana Soklič,5PmaT9dkr6wbSB59eUwlLn,Amen,5jPAKeFrXZiSB91WujvLAz,19,Amen,34fIoa7eilQV1KIzFKPfYQ,single,2021-02-27,184704
40,Blind Channel,3L58J6a7f0jyy2p6f3MSAs,Dark Side,6A8B1kJ9ZNHbl2uFPN6Wtm,0,Dark Side,6Lzb7EjZXgtelxgBsZUhMS,single,2021-01-21,177789
41,Marco Dalla Villa,7KPdADPwc8dIb8GVpwezmp,Maps - Marco Dalla Villa Remix,3I5PQHAgdl6q5WrZTsxuyy,13,Maps (Marco Dalla Villa Remix),3fxY8oMZOCydOmoA1aRKnv,single,2021-05-09,179566
42,Daði Freyr,3Hb64DQZIhDCgyHKrzBXOL,10 Years - Chromeo Remix,2qMOoDFyaBo4H7q37MqWuu,0,Welcome,2kyjJ29FqLjMt4dnSEDvbn,single,2021-05-21,163320
43,THE ROOP,34G31kGbSQmemVlI0G784o,Discoteque - Deepend Remix,637f1rBWW7jRoHH99d5QPt,17,Discoteque (Deepend Remix),0yVRVG4eEi2tfuHyNmyt3G,single,2021-05-14,153030
44,Go_A,4kvCU3MzggM2piZCqvxj0x,SHUM - Dj NANA Remix,5KHjOYWWOyUhSOunCWlqUU,0,Shum (Dj NANA Remix),1qwpyGTxJU2IYi5wqAJauj,single,2021-05-07,152741
45,Albina,7p1rrHdKESuF36QaqDSAtd,Tick-Tock - Stefy De Cicco Remix,3SvAygNlaHXrRLxRXwVb08,12,Tick-Tock (Stefy De Cicco Remix),2PFXTfskPxzgf774OAPB9t,single,2021-05-07,161250
46,Jeangu Macrooy,3t9HafA5eFHM992s4GZ0Gr,Birth Of A New Age - Mason Remix,5lnJg0QIs6YaOlqhHR5sGr,9,Birth Of A New Age (Mason Remix),2QMZ12N3R15t8ufrVr5QCg,single,2021-06-11,217443
47,Hooverphonic,5EP020iZcwBqHRnJftibXX,The Wrong Place - Hairglow French Crop Mix,3dwr1dnWRDQnXjwsPtFRJU,14,The Wrong Place (Hairglow French Crop Mix),4lJRB5Wpz8A1KlA818yWuA,single,2021-03-04,208520
48,Elena Tsagrinou,4TgsxeFPNtkZ5lneq9AceU,El Diablo - Joytide & Maarlind Remix,4aXBs8eGaJsZZ0ZnvTFh1N,17,El Diablo (Joytide & Maarlind Remix),2HFeQ5mOvIS2qhs9CqH3Rk,single,2021-06-22,171147
49,Gjon's Tears,0RIwEP1SaALlxn9jOVqHfA,Tout l'univers - Tiery F Remix,5WkRADQK9GjDvwfp1Hthff,0,Tout l'univers (Tiery F Remix),60p0KHHtc4eNT0dcQvHATj,single,2021-07-28,191040
50,Senhit,0kgOnYSaZeTf3ZnErgwkGT,Adrenalina - Steve Aoki Remix,3UgmyZB6ornmy4unZMbWUu,22,Adrenalina (Steve Aoki Remix),3GPK7GqYbtQEzrTxKX9FIW,single,2021-08-27,190000
51,Ana Soklič,5PmaT9dkr6wbSB59eUwlLn,Amen (Summer Vibes Remix),63H42T099VY99RkutrjR7D,8,Born to the Fight,6u8fACNkmklOxFZtpTn9Pv,album,2021-05-07,268500
52,Scott Elk Artwork,3oHIBFzQbtQeIjWg0Qs0h4,Movement IV - Dawn + Stardust,71oYvjWNrAEeqheYEWnEoq,7,Movement IV - Dawn + Stardust,3wqYrcfPsL6nNmY4jJ9Njg,single,2024-06-18,216013
